Age,Male,Female,NHWM,NHBM,NHWF,NHBF,HM,HF,Male_SE,Female_SE,NHWM_SE,NHBM_SE,NHWF_SE,NHBF_SE,HM_SE,HF_SE
35,0.00004310,0.00002860,0.00004060,0.00009300,0.00002570,0.00006510,0.00002610,0.00001740,0.00000090,0.00000080,0.00000120,0.00000390,0.00000090,0.00000310,0.00000160,0.00000130
36,0.00004310,0.00002860,0.00004060,0.00009300,0.00002570,0.00006510,0.00002610,0.00001740,0.00000090,0.00000080,0.00000120,0.00000390,0.00000090,0.00000310,0.00000160,0.00000130
37,0.00004310,0.00002860,0.00004060,0.00009300,0.00002570,0.00006510,0.00002610,0.00001740,0.00000090,0.00000080,0.00000120,0.00000390,0.00000090,0.00000310,0.00000160,0.00000130
38,0.00004310,0.00002860,0.00004060,0.00009300,0.00002570,0.00006510,0.00002610,0.00001740,0.00000090,0.00000080,0.00000120,0.00000390,0.00000090,0.00000310,0.00000160,0.00000130
39,0.00004310,0.00002860,0.00004060,0.00009300,0.00002570,0.00006510,0.00002610,0.00001740,0.00000090,0.00000080,0.00000120,0.00000390,0.00000090,0.00000310,0.00000160,0.00000130
40,0.00007630,0.00004560,0.00006850,0.00015800,0.00004160,0.00009970,0.00005820,0.00002960,0.00000120,0.00000090,0.00000150,0.00000510,0.00000120,0.00000380,0.00000240,0.00000180
41,0.00007630,0.00004560,0.00006850,0.00015800,0.00004160,0.00009970,0.00005820,0.00002960,0.00000120,0.00000090,0.00000150,0.00000510,0.00000120,0.00000380,0.00000240,0.00000180
42,0.00007630,0.00004560,0.00006850,0.00015800,0.00004160,0.00009970,0.00005820,0.00002960,0.00000120,0.00000090,0.00000150,0.00000510,0.00000120,0.00000380,0.00000240,0.00000180
43,0.00007630,0.00004560,0.00006850,0.00015800,0.00004160,0.00009970,0.00005820,0.00002960,0.00000120,0.00000090,0.00000150,0.00000510,0.00000120,0.00000380,0.00000240,0.00000180
44,0.00007630,0.00004560,0.00006850,0.00015800,0.00004160,0.00009970,0.00005820,0.00002960,0.00000120,0.00000090,0.00000150,0.00000510,0.00000120,0.00000380,0.00000240,0.00000180
45,0.00013310,0.00007790,0.00012100,0.00025400,0.00006750,0.00016700,0.00010600,0.00005820,0.00000160,0.00000120,0.00000190,0.00000640,0.00000140,0.00000490,0.00000350,0.00000260
46,0.00013310,0.00007790,0.00012100,0.00025400,0.00006750,0.00016700,0.00010600,0.00005820,0.00000160,0.00000120,0.00000190,0.00000640,0.00000140,0.00000490,0.00000350,0.00000260
47,0.00013310,0.00007790,0.00012100,0.00025400,0.00006750,0.00016700,0.00010600,0.00005820,0.00000160,0.00000120,0.00000190,0.00000640,0.00000140,0.00000490,0.00000350,0.00000260
48,0.00013310,0.00007790,0.00012100,0.00025400,0.00006750,0.00016700,0.00010600,0.00005820,0.00000160,0.00000120,0.00000190,0.00000640,0.00000140,0.00000490,0.00000350,0.00000260
49,0.00013310,0.00007790,0.00012100,0.00025400,0.00006750,0.00016700,0.00010600,0.00005820,0.00000160,0.00000120,0.00000190,0.00000640,0.00000140,0.00000490,0.00000350,0.00000260
50,0.00021520,0.00012400,0.00019200,0.00039100,0.00010400,0.00026100,0.00021100,0.00011600,0.00000200,0.00000150,0.00000220,0.00000780,0.00000160,0.00000600,0.00000540,0.00000400
51,0.00021520,0.00012400,0.00019200,0.00039100,0.00010400,0.00026100,0.00021100,0.00011600,0.00000200,0.00000150,0.00000220,0.00000780,0.00000160,0.00000600,0.00000540,0.00000400
52,0.00021520,0.00012400,0.00019200,0.00039100,0.00010400,0.00026100,0.00021100,0.00011600,0.00000200,0.00000150,0.00000220,0.00000780,0.00000160,0.00000600,0.00000540,0.00000400
53,0.00021520,0.00012400,0.00019200,0.00039100,0.00010400,0.00026100,0.00021100,0.00011600,0.00000200,0.00000150,0.00000220,0.00000780,0.00000160,0.00000600,0.00000540,0.00000400
54,0.00021520,0.00012400,0.00019200,0.00039100,0.00010400,0.00026100,0.00021100,0.00011600,0.00000200,0.00000150,0.00000220,0.00000780,0.00000160,0.00000600,0.00000540,0.00000400
55,0.00034270,0.00019800,0.00030100,0.00062500,0.00016200,0.00042200,0.00037000,0.00021400,0.00000260,0.00000190,0.00000280,0.00001040,0.00000200,0.00000790,0.00000810,0.00000600
56,0.00034270,0.00019800,0.00030100,0.00062500,0.00016200,0.00042200,0.00037000,0.00021400,0.00000260,0.00000190,0.00000280,0.00001040,0.00000200,0.00000790,0.00000810,0.00000600
57,0.00034270,0.00019800,0.00030100,0.00062500,0.00016200,0.00042200,0.00037000,0.00021400,0.00000260,0.00000190,0.00000280,0.00001040,0.00000200,0.00000790,0.00000810,0.00000600
58,0.00034270,0.00019800,0.00030100,0.00062500,0.00016200,0.00042200,0.00037000,0.00021400,0.00000260,0.00000190,0.00000280,0.00001040,0.00000200,0.00000790,0.00000810,0.00000600
59,0.00034270,0.00019800,0.00030100,0.00062500,0.00016200,0.00042200,0.00037000,0.00021400,0.00000260,0.00000190,0.00000280,0.00001040,0.00000200,0.00000790,0.00000810,0.00000600
60,0.00052010,0.00031200,0.00045300,0.00097700,0.00025600,0.00064000,0.00061000,0.00039700,0.00000340,0.00000250,0.00000370,0.00001470,0.00000270,0.00001070,0.00001220,0.00000930
61,0.00052010,0.00031200,0.00045300,0.00097700,0.00025600,0.00064000,0.00061000,0.00039700,0.00000340,0.00000250,0.00000370,0.00001470,0.00000270,0.00001070,0.00001220,0.00000930
62,0.00052010,0.00031200,0.00045300,0.00097700,0.00025600,0.00064000,0.00061000,0.00039700,0.00000340,0.00000250,0.00000370,0.00001470,0.00000270,0.00001070,0.00001220,0.00000930
63,0.00052010,0.00031200,0.00045300,0.00097700,0.00025600,0.00064000,0.00061000,0.00039700,0.00000340,0.00000250,0.00000370,0.00001470,0.00000270,0.00001070,0.00001220,0.00000930
64,0.00052010,0.00031200,0.00045300,0.00097700,0.00025600,0.00064000,0.00061000,0.00039700,0.00000340,0.00000250,0.00000370,0.00001470,0.00000270,0.00001070,0.00001220,0.00000930
65,0.00073500,0.00045900,0.00065100,0.00137600,0.00038800,0.00090700,0.00091100,0.00060500,0.00000450,0.00000340,0.00000480,0.00002070,0.00000360,0.00001480,0.00001770,0.00001330
66,0.00073500,0.00045900,0.00065100,0.00137600,0.00038800,0.00090700,0.00091100,0.00060500,0.00000450,0.00000340,0.00000480,0.00002070,0.00000360,0.00001480,0.00001770,0.00001330
67,0.00073500,0.00045900,0.00065100,0.00137600,0.00038800,0.00090700,0.00091100,0.00060500,0.00000450,0.00000340,0.00000480,0.00002070,0.00000360,0.00001480,0.00001770,0.00001330
68,0.00073500,0.00045900,0.00065100,0.00137600,0.00038800,0.00090700,0.00091100,0.00060500,0.00000450,0.00000340,0.00000480,0.00002070,0.00000360,0.00001480,0.00001770,0.00001330
69,0.00073500,0.00045900,0.00065100,0.00137600,0.00038800,0.00090700,0.00091100,0.00060500,0.00000450,0.00000340,0.00000480,0.00002070,0.00000360,0.00001480,0.00001770,0.00001330
70,0.00102950,0.00067200,0.00091900,0.00193100,0.00055900,0.00140300,0.00131200,0.00091300,0.00000640,0.00000480,0.00000680,0.00003050,0.00000490,0.00002200,0.00002630,0.00001940
71,0.00102950,0.00067200,0.00091900,0.00193100,0.00055900,0.00140300,0.00131200,0.00091300,0.00000640,0.00000480,0.00000680,0.00003050,0.00000490,0.00002200,0.00002630,0.00001940
72,0.00102950,0.00067200,0.00091900,0.00193100,0.00055900,0.00140300,0.00131200,0.00091300,0.00000640,0.00000480,0.00000680,0.00003050,0.00000490,0.00002200,0.00002630,0.00001940
73,0.00102950,0.00067200,0.00091900,0.00193100,0.00055900,0.00140300,0.00131200,0.00091300,0.00000640,0.00000480,0.00000680,0.00003050,0.00000490,0.00002200,0.00002630,0.00001940
74,0.00102950,0.00067200,0.00091900,0.00193100,0.00055900,0.00140300,0.00131200,0.00091300,0.00000640,0.00000480,0.00000680,0.00003050,0.00000490,0.00002200,0.00002630,0.00001940
75,0.00144580,0.00100500,0.00128900,0.00264100,0.00083300,0.00201600,0.00193200,0.00144500,0.00000910,0.00000680,0.00000960,0.00004390,0.00000700,0.00003090,0.00003860,0.00002850
76,0.00144580,0.00100500,0.00128900,0.00264100,0.00083300,0.00201600,0.00193200,0.00144500,0.00000910,0.00000680,0.00000960,0.00004390,0.00000700,0.00003090,0.00003860,0.00002850
77,0.00144580,0.00100500,0.00128900,0.00264100,0.00083300,0.00201600,0.00193200,0.00144500,0.00000910,0.00000680,0.00000960,0.00004390,0.00000700,0.00003090,0.00003860,0.00002850
78,0.00144580,0.00100500,0.00128900,0.00264100,0.00083300,0.00201600,0.00193200,0.00144500,0.00000910,0.00000680,0.00000960,0.00004390,0.00000700,0.00003090,0.00003860,0.00002850
79,0.00144580,0.00100500,0.00128900,0.00264100,0.00083300,0.00201600,0.00193200,0.00144500,0.00000910,0.00000680,0.00000960,0.00004390,0.00000700,0.00003090,0.00003860,0.00002850
80,0.00207400,0.00148300,0.00191100,0.00342000,0.00126800,0.00280300,0.00265700,0.00213100,0.00001320,0.00000930,0.00001400,0.00006430,0.00000970,0.00004350,0.00005630,0.00004120
81,0.00207400,0.00148300,0.00191100,0.00342000,0.00126800,0.00280300,0.00265700,0.00213100,0.00001320,0.00000930,0.00001400,0.00006430,0.00000970,0.00004350,0.00005630,0.00004120
82,0.00207400,0.00148300,0.00191100,0.00342000,0.00126800,0.00280300,0.00265700,0.00213100,0.00001320,0.00000930,0.00001400,0.00006430,0.00000970,0.00004350,0.00005630,0.00004120
83,0.00207400,0.00148300,0.00191100,0.00342000,0.00126800,0.00280300,0.00265700,0.00213100,0.00001320,0.00000930,0.00001400,0.00006430,0.00000970,0.00004350,0.00005630,0.00004120
84,0.00207400,0.00148300,0.00191100,0.00342000,0.00126800,0.00280300,0.00265700,0.00213100,0.00001320,0.00000930,0.00001400,0.00006430,0.00000970,0.00004350,0.00005630,0.00004120
85,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
86,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
87,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
88,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
89,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
90,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
91,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
92,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
93,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
94,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
95,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
96,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
97,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
98,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
99,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
100,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
101,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
102,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
103,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
104,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
105,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
106,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
107,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
108,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
109,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
110,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
111,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
112,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
113,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
114,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
115,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
116,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
117,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
118,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
119,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
120,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
121,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
122,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
123,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
124,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
125,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
126,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
127,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
128,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
129,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
130,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
131,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
132,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
133,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
134,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
135,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
136,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
137,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
138,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
139,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
140,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
141,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
142,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
143,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
144,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
145,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
146,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
147,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
148,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
149,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
150,0.00322780,0.00245000,0.00307800,0.00456800,0.00218800,0.00434200,0.00386800,0.00330500,0.00001800,0.00001100,0.00001900,0.00008400,0.00001100,0.00005200,0.00007500,0.00005200
